player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,sacks,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,games_played,pass_attempts_per_game,rushing_attempts_per_game,rushing_yards_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,receptions_per_game,ypc,carry_share,target_share_backfield,opportunity_share,goal_line_carries,yards_after_catch,target_share,air_yards,wopr,racr,targets_per_game,yac_per_reception,adot,total_air_yards,receiving_yards_per_game,yprr_proxy,redzone_targets,endzone_targets,fg_attempts,fg_makes,fg_made_40_49,fg_att_40_49,fg_made_50p,fg_att_50p,fg_made_60p,fg_att_60p,xp_attempts,xp_makes,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,fumbles_recovered,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,overall_rank,tier,draft_round,draft_pick,situation_score,depth_chart_role,opportunity_ceiling,is_rookie,notes,adp,adp_rank,adp_best,adp_worst,adp_sd,scrape_date,value_delta
LAC,LAC DST,LAC,,,,,13.0,25.0,,,,,10,,,,,,,,,,,DST,74.29,38,0.9855,75.38,4,62.14,12.150000000000006,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,2.5,1.5,0.0778816199376947,0.0204638472032742,19.6,-0.0916430011396151,38,3,,,,,,,,,,,,,,
00-0031381,Davante Adams,LA,,,,,,,,,,105.3,8,,,,,,,,,,,WR,82.73,39,1.18,70.11,11,74.13,8.600000000000009,8.6,,59.0,34.0,393.0,11.0,,,,,,,,48.0,0.2313363628965846,0.3435372302001944,0.5874806054850129,0.5064432989690721,7.375,1.411764705882353,13.152542372881356,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,,,,,,,,48.13,49.0,40.0,68.0,5.35,2026-06-26,10.0
00-0039732,Bo Nix,DEN,383.0,241.0,2513.0,16.0,7.0,12.0,42.0,183.0,4.0,196.82,10,38.3,4.2,18.3,6.561357702349869,0.6292428198433421,0.04177545691906,0.0182767624020887,395.0,0.4982784810126582,4.23,QB,70.58,40,1.134,62.24,8,61.12,9.46,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,,,,,,,,103.13,102.0,74.0,129.0,8.34,2026-06-26,62.0
SEA,SEA DST,SEA,,,,,10.0,24.0,,,,,10,,,,,,,,,,,DST,73.12,41,0.919,79.57,5,62.14,10.980000000000004,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18.0,2.4,1.8,0.064516129032258,0.0215827338129496,17.2,-0.2115589573031382,41,3,,,,,,,,,,,,,,
00-0036973,Travis Etienne,JAX,,,,,,,,605.0,5.0,142.20000000000002,10,,,,,,,,,,,RB,79.25,42,0.9405,84.26,15,71.82,7.430000000000007,8.17,157.0,32.0,22.0,217.0,5.0,15.7,2.2,3.853503184713376,0.7072412742841132,0.7085714285714285,0.7035846010577468,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3,,,,,,,,304.9,349.0,268.0,332.0,13.88,,307.0
00-0030506,Travis Kelce,KC,,,,,,,,,,71.9,10,,,,,,,,,,,TE,88.85,43,1.031,86.18,3,81.24,7.609999999999999,7.99,,65.0,45.0,518.0,3.0,,,,,,,,251.0,0.2100399162726984,,,,6.5,,,,51.8,7.969230769230769,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,43,3,,,,,,,,102.92,101.0,73.0,181.0,21.15,2026-06-26,58.0
00-0038124,Christian Watson,GB,,,,,,,,,,97.4,10,,,,,,,,,,,WR,81.95,44,1.0945,74.87,12,74.13,7.820000000000007,7.82,,55.0,35.0,611.0,6.0,,,,,,,,118.0,0.2030746401690929,0.3475040833137693,0.547864818573278,0.6253838280450358,5.5,3.3714285714285714,17.763636363636362,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,,,,,,,,57.25,54.0,40.0,91.0,11.25,2026-06-26,10.0
00-0037247,George Pickens,DAL,,,,,,,,,,109.5,10,,,,,,,,,,,WR,81.53,45,0.9919,82.2,13,74.13,7.400000000000006,7.4,,86.0,60.0,895.0,3.0,,,,,,,,306.0,0.2442443887656653,0.3243184174096937,0.5933894753352836,0.9381551362683438,8.6,5.1,11.093023255813954,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3,,,,,,,,17.71,16.0,12.0,29.0,3.42,2026-06-26,-29.0
00-0033293,Aaron Jones,MIN,,,,,,,,502.0,2.0,75.7,10,,,,,,,,,,,RB,78.52,46,1.007,77.97,16,71.82,6.700000000000003,7.37,119.0,37.0,25.0,155.0,0.0,11.9,2.5,4.218487394957983,0.5882676394812617,0.7861904761904761,0.6289573070607554,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3,,,,,,,,328.25,389.0,272.0,445.0,32.69,,343.0
00-0039338,Brock Bowers,LV,,,,,,,,,,87.7,8,,,,,,,,,,,TE,88.2,47,0.95975,91.9,4,81.24,6.960000000000008,7.31,,59.0,45.0,455.0,7.0,,,,,,,,171.0,0.2364682028497818,,,,7.375,,,,56.875,7.711864406779661,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,47,3,,,,,,,,21.21,20.0,15.0,27.0,2.34,2026-06-26,-27.0
