player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,sacks,games_played,pass_attempts_per_game,passing_yards_per_game,rushing_attempts_per_game,rushing_yards_per_game,fantasy_points_half_ppr_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,targets_per_game,receptions_per_game,receiving_yards_per_game,ypc,yards_per_reception,catch_rate,carry_share,target_share_backfield,opportunity_share,goal_line_carries,air_yards,yards_after_catch,wopr,yac_per_reception,target_share,adot,total_air_yards,racr,ngs_separation,redzone_targets,endzone_targets,yprr_proxy,yprr_note,fg_attempts,fg_makes,fg_att_40_49,fg_made_40_49,fg_att_50p,fg_made_50p,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,xp_attempts,fumbles_recovered,safeties,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,opponent_dvoa,overall_rank,tier
00-0033873,Patrick Mahomes,KC,421.0,281.0,2693.0,20.0,5.0,35.0,224.0,2.0,212.12001,27.0,11,38.27272727272727,244.8181818181818,3.1818181818181817,20.363636363636363,19.28363730690696,6.396674584323041,0.667458432304038,0.047505938242280284,0.011876484560570071,448.0,0.47348216601780485,3.127272692593661,QB,62.7,12,1.0,62.7,12,62.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,7
00-0036894,Pat Freiermuth,PIT,,,,,,,,,94.4,,10,,,,,,,,,,,,,TE,76.09,14,1.0,76.09,14,76.09,0.0,0.0,,41.0,35.0,374.0,4.0,,4.1,,37.4,,,0.8536585365853658,,,,,,149.0,0.31680548,,0.14767999592999592,,,,,9.0,2.0,9.121951219512194,proxy via targets; true YPRR requires PFF route data,,,,,,,,,,,,,,,,,,,,,,106,7
00-0039164,Anthony Richardson,IND,187.0,87.0,1160.0,5.0,6.0,65.0,358.0,5.0,117.1,10.0,7,26.714285714285715,165.71428571428572,9.285714285714286,51.142857142857146,16.72857121058873,6.2032085561497325,0.46524064171123,0.026737967914438502,0.03208556149732621,197.0,0.5944162359092441,9.39999989100865,QB,62.49,13,1.0,62.49,13,62.7,-0.21000000000000085,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,7
LA,LA DST,LA,,,,,11.0,,,,,27.0,11,,,,,,,,,,,,,DST,60.13,13,1.0,60.13,13,60.84,-0.7100000000000009,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,15.0,2.4545454545454546,1.3636363636363635,0.06506024096385542,0.016286644951140065,19.727272,0.012952145036444606,,108,7
00-0038994,Jordan Addison,MIN,,,,,,,,,175.5,,11,,,,,,,,,,,,,WR,71.94,29,1.0,71.94,29,72.51,-0.5700000000000074,-0.57,,77.0,53.0,732.0,8.0,,7.0,,66.54545454545455,,,0.6883116883116883,,,,,0.30183652,208.0,0.5405159,3.9245283018867925,0.35803506162403725,11.727273,903.0,0.8106312,,,,,,,,,,,,,,,,,,,,,,,,,,,109,7
00-0037746,Brian Robinson,WAS,,,,,,,464.0,3.0,79.9,,8,,,,58.0,,,,,,,,,RB,66.89,29,1.0,66.89,29,67.42,-0.5300000000000011,-0.58,109.0,13.0,11.0,85.0,0.0,13.625,1.625,1.375,10.625,4.256880733944954,7.7272727272727275,0.8461538461538461,0.6159310320237935,0.3878517316017316,0.5534115244190675,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,7
00-0037692,B.Aubrey,DAL,,,,,,,,,,,10,,,,,,,,,,,,,K,57.26,13,1.0,57.26,13,58.17,-0.9100000000000037,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,19.0,9.0,7.0,8.0,6.0,0.7916666666666666,0.7777777777777778,0.75,2.4,20.0,,,,,,,,,,,111,7
00-0036040,Juwan Johnson,NO,,,,,,,,,79.0,,10,,,,,,,,,,,,,TE,75.43,15,1.0,75.43,15,76.09,-0.6599999999999966,-0.69,,45.0,32.0,350.0,2.0,,4.5,,35.0,,,0.7111111111111111,,,,,,135.0,0.32475647,,0.1431108161871101,,,,,7.0,4.0,7.777777777777778,proxy via targets; true YPRR requires PFF route data,,,,,,,,,,,,,,,,,,,,,,112,7
00-0036973,Travis Etienne,JAX,,,,,,,297.0,0.0,63.1,,8,,,,37.125,,,,,,,,,RB,66.78,30,1.0,66.78,30,67.42,-0.6400000000000006,-0.7,81.0,24.0,20.0,134.0,0.0,10.125,3.0,2.5,16.75,3.6666666666666665,6.7,0.8333333333333334,0.5414223276723277,0.7375,0.5813190867744947,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,7
00-0034272,Marquez Valdes-Scantling,NO,,,,,,,,,73.6,,7,,,,,,,,,,,,,WR,71.47,30,1.0,71.47,30,72.51,-1.0400000000000063,-1.04,,27.0,14.0,352.0,4.0,,3.857142857142857,,50.285714285714285,,,0.5185185185185185,,,,,0.29621163,117.0,0.40784952,8.357142857142858,0.3715136054421769,18.444445,498.0,0.7068273,,,,,,,,,,,,,,,,,,,,,,,,,,,114,7
00-0030035,Adam Thielen,CAR,,,,,,,,,105.2,,6,,,,,,,,,,,,,WR,71.42,31,1.0,71.42,31,72.51,-1.0900000000000034,-1.09,,44.0,35.0,462.0,4.0,,7.333333333333333,,77.0,,,0.7954545454545454,,,,,0.30497488,116.0,0.58359104,3.3142857142857145,0.33530756238422144,11.659091,513.0,0.9005848,,,,,,,,,,,,,,,,,,,,,,,,,,,115,7
00-0029263,Russell Wilson,PIT,305.0,197.0,2334.0,15.0,5.0,39.0,139.0,2.0,161.26001,29.0,10,30.5,233.4,3.9,13.9,16.1260009765625,7.6524590163934425,0.6459016393442623,0.04918032786885246,0.01639344262295082,334.0,0.48281440049588326,2.590000057220459,QB,61.17,14,1.0,61.17,14,62.7,-1.5300000000000011,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,7
00-0030279,Keenan Allen,CHI,,,,,,,,,141.7,,10,,,,,,,,,,,,,WR,71.12,32,1.0,71.12,32,72.51,-1.3900000000000006,-1.39,,93.0,52.0,597.0,5.0,,9.3,,59.7,,,0.5591397849462365,,,,,0.3312449,193.0,0.6710786,3.7115384615384617,0.3675499009370636,9.67742,900.0,0.66333336,,,,,,,,,,,,,,,,,,,,,,,,,,,117,7
00-0038567,C.Ryland,ARI,,,,,,,,,,,10,,,,,,,,,,,,,K,56.14,14,1.0,56.14,14,58.17,-2.030000000000001,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,7.0,4.0,3.0,3.0,0.875,0.5714285714285714,1.0,2.4,20.0,,,,,,,,,,,118,7
00-0034161,D.Carlson,LV,,,,,,,,,,,10,,,,,,,,,,,,,K,55.92,15,1.0,55.92,16,58.17,-2.25,-1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,24.0,4.0,3.0,7.0,4.0,0.8571428571428571,0.75,0.5714285714285714,2.8,14.0,,,,,,,,,,,119,7
00-0036162,T.Bass,BUF,,,,,,,,,,,9,,,,,,,,,,,,,K,55.92,15,1.0,55.92,15,58.17,-2.25,-1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,14.0,5.0,4.0,3.0,3.0,0.875,0.8,1.0,1.7777777777777777,42.0,,,,,,,,,,,120,7
00-0037240,Jameson Williams,DET,,,,,,,,,129.1,,9,,,,,,,,,,,,,WR,70.91,33,1.0,70.91,33,72.51,-1.6000000000000085,-1.6,,54.0,36.0,602.0,4.0,,6.0,,66.88888888888889,,,0.6666666666666666,,,,,0.27051353,286.0,0.46162218,7.944444444444445,0.3185803135919235,10.277778,555.0,1.0846847,,,,,,,,,,,,,,,,,,,,,,,,,,,121,7
00-0035640,DK Metcalf,SEA,,,,,,,,,91.0,,8,,,,,,,,,,,,,WR,70.8,34,1.0,70.8,34,72.51,-1.710000000000008,-1.71,,49.0,32.0,470.0,2.0,,6.125,,58.75,,,0.6530612244897959,,,,,0.41263637,70.0,0.5955842,2.1875,0.35521574812655377,14.510204,711.0,0.6610408,,,,,,,,,,,,,,,,,,,,,,,,,,,122,7
00-0029822,B.McManus,GB,,,,,,,,,,,9,,,,,,,,,,,,,K,55.7,17,1.0,55.7,17,58.17,-2.469999999999999,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,17.0,4.0,3.0,2.0,2.0,0.9444444444444444,0.75,1.0,2.0,29.0,,,,,,,,,,,123,7
00-0037228,Jaylen Warren,PIT,,,,,,,429.0,1.0,104.0,,10,,,,42.9,,,,,,,,,RB,65.82,31,1.0,65.82,31,67.42,-1.6000000000000085,-1.76,94.0,38.0,30.0,271.0,0.0,9.4,3.8,3.0,27.1,4.5638297872340425,9.033333333333333,0.7894736842105263,0.35592420706939765,0.6200549450549451,0.39994014248658216,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,7
00-0039409,C.Little,JAX,,,,,,,,,,,7,,,,,,,,,,,,,K,55.17,18,1.0,55.17,18,58.17,-3.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,14.0,5.0,5.0,2.0,1.0,0.9333333333333333,1.0,0.5,2.142857142857143,14.0,,,,,,,,,,,125,7
00-0037838,Isaiah Likely,BAL,,,,,,,,,60.2,,8,,,,,,,,,,,,,TE,74.05,16,1.0,74.05,16,76.09,-2.0400000000000063,-2.14,,28.0,21.0,232.0,3.0,,3.5,,29.0,,,0.75,,,,,,123.0,0.26455235,,0.13016843512767426,,,,,7.0,4.0,8.285714285714286,proxy via targets; true YPRR requires PFF route data,,,,,,,,,,,,,,,,,,,,,,126,7
00-0035685,David Montgomery,DET,,,,,,,424.0,6.0,131.22,,9,,,,47.111111111111114,,,,,,,,,RB,65.24,32,1.0,65.24,32,67.42,-2.180000000000007,-2.4,110.0,28.0,26.0,247.0,0.0,12.222222222222221,3.111111111111111,2.888888888888889,27.444444444444443,3.8545454545454545,9.5,0.9285714285714286,0.44990334507551705,0.49963924963924966,0.4546544650711318,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,7
00-0036309,Darnell Mooney,ATL,,,,,,,,,111.4,,10,,,,,,,,,,,,,WR,69.96,35,1.0,69.96,35,72.51,-2.5500000000000114,-2.55,,61.0,37.0,624.0,2.0,,6.1,,62.4,,,0.6065573770491803,,,,,0.34486127,142.0,0.5377868,3.8378378378378377,0.3020871891266628,12.918033,788.0,0.79187816,,,,,,,,,,,,,,,,,,,,,,,,,,,128,7
